FBgn	gene	chromosome	start	stop	BS40	BS43	BS46	BS49	BS54	BS55	BS58	BS62	BS66	BS67	BS71	BS73	BS107	BS111	BS113	BS196	BS200	BS203	BS129	BS133	BS136	BS137	BS140	BS143	BS150	BS156	BS162	BS153	BS159	BS165
FBgn0010339	CG8340	chr2R	7924728	7926477	77.7565	25.189	34.7482	51.1654	54.7394	70.9987	57.0736	42.0908	33.0453	24.2389	31.2109	28.6363	87.8211	72.2941	47.5812	27.4824	29.2928	33.9126	33.3328	33.5708	41.0583	38.4414	28.5186	21.0272	24.985	32.2944	39.1429	58.1003	73.9195	73.3775
FBgn0020238	CG31196	chr3R	14068084	14076367	613.5273	1166.8091	1223.041	808.5888	708.5934	612.3326	631.1595	460.3071	476.2882	352.2117	418.0303	418.7804	349.9273	378.7061	341.91737	352.8134	456.73761	525.1959	571.5282	672.2724	709.7649	423.8217	199.64732	179.7007	206.8341	212.47173	225.4509	313.11475	483.43256	438.0677
FBgn0004907	CG17870	chr2R	5987161	5997238	190.4362	244.772	214.6209	334.2419	413.7443	497.2936	676.8165	311.19691	482.27698	453.55863	528.02706	624.9279	461.14422	542.331	427.6026	328.6856	327.9105	386.79094	345.42612	350.43508	372.25828	354.89319	482.24519	277.64951	291.73829	238.3155	187.04831	218.4218	287.26381	261.44069
FBgn0010340	CG9852	chr3R	9949939	9951278	11.3807	4.61404	6.30646	8.18434	8.04286	8.28632	10.7397	5.23571	7.4473	4.46387	5.02216	5.23935	7.96031	12.6454	10.3898	5.52285	4.75737	6.14046	5.96406	4.72258	6.20493	10.3027	9.13606	2.78619	5.78033	6.71656	4.32786	4.79875	11.9005	11.6468
FBgn0004364	CG8896	chr2R	15999015	16004437	2.2782	43.5887	84.3597	87.0492	75.7224	46.5515	53.8902	50.3061	25.3058	15.3535	7.74603	7.48939	7.94508	7.09184	5.01815	4.84666	11.9015	16.9947	23.5004	26.13	39.6042	33.332	18.6152	11.4082	13.3109	10.3454	9.27657	11.9461	8.22244	7.33909
FBgn0250848	CG8947	chr3L	13987278	13989789	971.933	123.881	11.3341	5.70794	8.2303	9.48928	15.1061	31.115	25.6077	20.2443	9.9615	10.4822	29.9868	93.9123	94.1334	142.672	135.469	108.002	106.337	372.716	1098.98	686.121	167.662	119.433	96.1947	94.5809	110.41	382.005	602.775	571.089
FBgn0029514	CG9166	chr3L	1351058	1352853	8.782599	8.051803	10.79059	11.839867	10.75119	12.2815	9.29856	6.88863	5.577979	4.69486	5.87529	5.565841	8.44746	6.808776	5.25622	5.26864	6.510326	8.160129	8.173937	8.007844	9.38226	8.831476	6.891604	5.68802	7.194713	9.045558	10.1868	6.516075	7.091133	6.834837
FBgn0053100	CG33100	chr3R	19888671	19934793	55.32197	21.3845	21.381379	23.7604	21.92877	18.815668	24.800246	14.812803	15.91166	12.25817	15.9482	20.82462	20.70694	18.97277	12.655082	7.299364	13.7599	15.10416	15.50122	14.28212	19.40162	21.57858	17.76427	12.136155	15.061001	17.995384	19.38296	19.405828	36.70299	37.17377
FBgn0004168	CG16720	chr2R	14954659	15009463	0.0162502	0.0556912	0.024753	0.0637119	0.11149	0.140604	0.628727	3.26091	6.77357	9.87471	10.1942	10.6502	10.1973	2.62959	0.853138	0.433543	0.611613	0.800242	0.775312	1.46413	2.14728	3.80215	3.63171	2.68796	2.075384	2.24457	2.49097	1.05824	0.287731	0.276769
FBgn0004572	CG15113	chr2R	14909829	14916482	0.0	0.0167659	0.01500846	0.0113797	0.0358287	0.045836	0.2099739	1.147338	1.758805	2.397179	2.03602	2.695043	2.639911	0.776366	0.171638	0.191466	0.56319	0.64417	0.761293	1.694131	1.730599	1.697612	1.505719	2.182406	1.842105	1.915782	2.979037	1.179537	0.3779359	0.7135209
FBgn0087012	CG1056	chr3R	438596	459031	0.0849601	2.859203	4.531907	1.5502701	1.0064732	0.8070384	0.8050553	0.683618	0.7890822	0.8888969	1.379725	1.6520834	1.349754	0.5856449	0.2542201	0.1871829	0.329938	0.5952077	0.7663158	1.6293939	2.0795414	3.167853	1.5752499	8.317665	5.515707	5.839169	5.820492	3.218776	1.0184439	0.9347086
FBgn0004573	CG12073	chr3R	26793947	26842569	0.0312616	0.0833806	0.0833844	0.0486645	0.0747971	0.1245271	0.825206	2.372727	3.82185	5.68028	5.49534	6.64396	5.14188	2.50888	0.849587	0.759134	1.43693	2.056129	1.65467	1.163651	1.31995	2.415025	2.6627	1.844887	1.340383	1.675297	1.320447	0.581864	0.197899	0.2098927
