FBgn	gene	chromosome	start	stop	strand	CME_W1_Cl.8+	Kc167	ML-DmBG3-c2	S2_DRSC
FBgn0031208	CG11023	chr2L	7436	9506	-	0.233432	0.0735737	0.755207	0.152975
FBgn0002121	CG2671	chr2L	9578	21411	-	40.3901	0.0129598	14.01	22.4486
FBgn0031209	CG2657	chr2L	21822	25155	-	0.0113553	0	0	0
NA	noncoding_12	chr2L	21951	24237	-	0.021401	0	0	0
FBgn0051973	CG31973	chr2L	25356	59564	-	0.0877555	0.0126851	0.0291832	0.422149
FBgn0067779	CG11371	chr2L	66823	71390	-	7.10382	6.4637	6.42866	7.13818
FBgn0031213	CG11372	chr2L	72150	76272	-	30.2921	27.0925	28.0095	29.0331
FBgn0031214	CG11374	chr2L	76445	77639	-	0.194918	0.441196	0.458621	0.340627
FBgn0002931	CG11450	chr2L	82346	87395	-	0.31794	0.486539	0.356043	2.1596
FBgn0031216	CG11376	chr2L	94671	102119	-	5.65079	7.41997	3.258	4.12596
FBgn0031217	CG11377	chr2L	102381	104148	-	34.7758	76.751	31.2558	35.2846
FBgn0026787	CG12178	chr2L	103961	106790	-	5.78611	16.9162	6.09539	5.21328
FBgn0005278	CG2674	chr2L	106902	114513	-	122.207	179.418	47.8056	59.1481
FBgn0031219	CG13694	chr2L	115712	116117	-	0	2.43883	1.52109	1.00422
FBgn0031220	CG4822	chr2L	116966	121974	-	161.298	34.4171	40.0037	47.7098
FBgn0025683	CG3164	chr2L	122566	130791	-	183.769	83.9508	110.34	97.5771
FBgn0001142	CG2718	chr2L	131923	134472	-	121.23	85.8548	141.933	10.8089
FBgn0051975	CG31975	chr2L	138383	140992	-	0.116221	0	0.0512728	1.9212
FBgn0051976	CG31976	chr2L	138383	140992	-	0	0.746243	0	0
FBgn0051974	CG31974	chr2L	141061	142978	-	2.18465	4.23852	0.393386	0.525917
FBgn0031224	CG11454	chr2L	143308	144227	-	61.8762	44.5678	53.7017	39.0556
FBgn0031227	CG3709	chr2L	144229	158784	-	15.9237	16.2637	10.9969	14.139
FBgn0259818	CG42399	chr2L	144230	153288	-	0	0	0	0
FBgn0031228	CG11455	chr2L	155332	157681	-	75.3229	56.8703	108.707	52.5083
FBgn0031229	CG3436	chr2L	155343	157709	+	0	0	0	0
FBgn0053635	CG33635	chr2L	157682	158784	-	0	0	0	0
FBgn0016977	CG18497	chr2L	159033	203411	-	32.8282	47.0827	7.32392	13.781
NA	noncoding_67	chr2L	180359	180902	-	0	0	0	0
FBgn0031231	CG11488	chr2L	203717	204811	-	40.6204	33.2872	37.4987	26.1621
FBgn0031232	CG11617	chr2L	204734	206919	-	2.20757	0.418583	0.0541552	0.250317
FBgn0031233	CG11490	chr2L	207318	210725	-	17.2663	8.21054	12.0981	10.3959
FBgn0086902	CG3696	chr2L	210731	250849	-	41.2315	30.8801	13.9282	26.4256
FBgn0031235	CG13693	chr2L	232454	233965	+	0	0	0	0
FBgn0022246	CG11606	chr2L	251054	252427	-	9.02694	7.83499	7.42581	4.42533
FBgn0031238	CG3645	chr2L	252486	271758	-	19.0624	14.1873	16.6139	13.1512
FBgn0031239	CG17075	chr2L	263782	266688	-	0	0	0	0
FBgn0031240	CG3345	chr2L	268943	271626	+	0	0	0	0
FBgn0086912	CG11604	chr2L	271889	283319	-	60.2514	78.5464	53.4837	51.1511
FBgn0086856	CG11555	chr2L	273954	282175	-	29.3824	51.1682	18.5065	24.8245
