Chr	Start (kb)	Stop (kb)	LOD score
5	30803441	30803456	lod=19
5	30803761	30803771	lod=20
5	30803805	30803821	lod=16
5	30803893	30803922	lod=24
5	30804267	30804423	lod=86
5	30804452	30804493	lod=25
5	30804506	30804524	lod=19
5	30805107	30805151	lod=30
5	30805201	30805233	lod=31
5	30805273	30805320	lod=20
5	30805404	30805421	lod=20
5	30807182	30807258	lod=37
5	30807281	30807352	lod=90
5	30807357	30807410	lod=72
5	30808727	30808800	lod=27
5	30817747	30817772	lod=31
5	30819334	30819348	lod=24
5	30819369	30819432	lod=30
5	30821934	30821963	lod=20
5	30822208	30822233	lod=18
5	30822942	30822985	lod=33
5	30823000	30823053	lod=27
5	30823199	30823359	lod=83
5	30823682	30823711	lod=23
5	30823747	30823783	lod=21
5	30823861	30824116	lod=385
5	30824161	30824307	lod=154
5	30826134	30826146	lod=27
5	30826170	30826201	lod=36
5	30826242	30826251	lod=17
5	30827486	30827502	lod=18
5	30827630	30827691	lod=28
5	30829870	30829880	lod=17
5	30830149	30830168	lod=22
5	30830208	30830314	lod=42
5	30830363	30830397	lod=28
5	30830449	30830489	lod=28
5	30833127	30833145	lod=17
5	30833643	30833817	lod=103
5	30833865	30833883	lod=17
5	30833915	30833965	lod=28
5	30834561	30834591	lod=20
5	30837787	30837823	lod=36
5	30837903	30837920	lod=30
5	30837940	30838161	lod=263
5	30838170	30838295	lod=134
5	30838362	30838405	lod=48
5	30838417	30838499	lod=45
5	30838531	30838544	lod=16
5	30838665	30838778	lod=64
5	30838905	30838915	lod=18
5	30842573	30842607	lod=20
5	30842623	30842701	lod=59
5	30842711	30842730	lod=33
5	30842741	30842762	lod=29
5	30844342	30844565	lod=179
5	30844612	30844706	lod=74
5	30844750	30844766	lod=25
5	30844839	30844861	lod=23
5	30846699	30846739	lod=23
5	30846761	30846803	lod=26
5	30847405	30847523	lod=136
5	30848779	30848828	lod=40
5	30848877	30848954	lod=50
5	30848984	30849056	lod=32
5	30849128	30849141	lod=20
5	30849149	30849195	lod=25
5	30864859	30864875	lod=21
5	30864904	30864973	lod=54
5	30865000	30865039	lod=21
5	30865046	30865097	lod=38
5	30865125	30865184	lod=45
5	30865193	30865230	lod=20
5	30865412	30865423	lod=20
5	30866113	30866150	lod=25
5	30866654	30866777	lod=94
5	30866790	30867100	lod=198
5	30867568	30867667	lod=72
5	30868293	30868313	lod=17
5	30874990	30875086	lod=73
5	30875104	30875217	lod=107
5	30876279	30876331	lod=25
5	30876438	30876582	lod=71
5	30878541	30878560	lod=17
5	30878647	30878716	lod=26
5	30878795	30878869	lod=37
5	30879073	30879178	lod=48
5	30879204	30879300	lod=40
5	30879324	30879533	lod=163
5	30879547	30879575	lod=21
5	30880996	30881014	lod=20
5	30881540	30881640	lod=88
5	30881718	30881758	lod=22
5	30882154	30882185	lod=20
5	30882292	30882399	lod=80
5	30882543	30882562	lod=19
5	30882803	30883021	lod=212
5	30883097	30883110	lod=20
5	30883573	30883691	lod=88
5	30883707	30883773	lod=46
5	30883784	30883800	lod=21
5	30883838	30883999	lod=96
5	30884034	30884142	lod=67
5	30884161	30884202	lod=29
5	30884212	30884236	lod=25
5	30884377	30884415	lod=27
5	30884468	30884517	lod=32
5	30885969	30885988	lod=17
5	30886081	30886199	lod=43
5	30886280	30886325	lod=25
5	30889041	30889060	lod=24
5	30889203	30889238	lod=25
5	30889619	30889652	lod=22
5	30889886	30889899	lod=19
5	30890086	30890113	lod=30
5	30891911	30892050	lod=144
5	30892063	30892084	lod=26
5	30892104	30892131	lod=30
5	30892151	30892337	lod=242
5	30892442	30892459	lod=20
5	30892722	30892789	lod=40
5	30892799	30892962	lod=142
5	30894068	30894113	lod=23
5	30897282	30897333	lod=23
5	30898679	30898725	lod=22
5	30901524	30901549	lod=24
5	30901565	30901823	lod=206
5	30902055	30902077	lod=19
5	30902848	30902862	lod=16
5	30902931	30902949	lod=17
5	30902960	30902989	lod=18
5	30903048	30903104	lod=45
5	30903125	30903202	lod=45
5	30903252	30903267	lod=20
5	30903321	30903333	lod=20
5	30903354	30903363	lod=17
5	30903383	30903394	lod=16
5	30903514	30903530	lod=20
5	30903600	30903626	lod=39
5	30903666	30903888	lod=245
5	30903904	30903952	lod=59
5	30903975	30904065	lod=78
5	30904121	30904148	lod=41
5	30906816	30907067	lod=201
5	30907106	30907120	lod=18
5	30907685	30907700	lod=19
5	30907822	30907872	lod=29
5	30908078	30908089	lod=21
5	30908132	30908193	lod=26
5	30908894	30908920	lod=20
5	30909102	30909207	lod=40
5	30909234	30909347	lod=85
5	30909373	30909397	lod=27
5	30910890	30910918	lod=32
5	30911046	30911059	lod=16
5	30911168	30911200	lod=27
5	30911222	30911282	lod=24
5	30915238	30915274	lod=23
5	30915389	30915438	lod=32
5	30915545	30915609	lod=35
5	30915947	30915962	lod=19
5	30915985	30916000	lod=17
5	30916435	30916448	lod=20
5	30916818	30916826	lod=16
5	30918410	30918467	lod=22
5	30918536	30918558	lod=26
5	30918671	30918792	lod=65
5	30918813	30918865	lod=32
5	30918931	30918963	lod=21
5	30920777	30920797	lod=20
5	30920964	30921074	lod=106
5	30921091	30921112	lod=18
5	30921147	30921164	lod=16
5	30921592	30921613	lod=22
5	30927202	30927234	lod=36
5	30927345	30927389	lod=27
5	30927404	30927424	lod=24
5	30927728	30927755	lod=23
5	30927794	30927838	lod=32
5	30930428	30930442	lod=20
5	30930506	30930516	lod=16
5	30930619	30930804	lod=178
5	30930834	30930904	lod=37
5	30932645	30932888	lod=208
5	30933150	30933176	lod=24
5	30933469	30933521	lod=28
5	30933600	30933618	lod=17
5	30933651	30933672	lod=29
5	30935608	30935628	lod=19
5	30936455	30936701	lod=185
5	30936837	30937182	lod=205
5	30938363	30938439	lod=46
5	30938454	30938471	lod=21
5	30938511	30938540	lod=25
5	30938644	30938679	lod=25
5	30941213	30941265	lod=22
5	30941485	30941511	lod=23
5	30941625	30941660	lod=22
5	30941694	30941765	lod=44
5	30941800	30941816	lod=17
5	30943866	30943894	lod=19
5	30949347	30949357	lod=20
5	30949370	30949488	lod=130
5	30949508	30949548	lod=49
5	30949696	30949726	lod=25
5	30949952	30949972	lod=22
5	30950546	30950595	lod=35
5	30952295	30952315	lod=17
5	30952338	30952366	lod=19
5	30952378	30952520	lod=109
5	30953632	30953677	lod=25
5	30953744	30953782	lod=32
5	30956661	30956721	lod=22
5	30956848	30956966	lod=88
5	30956984	30957027	lod=30
5	30957477	30957719	lod=194
5	30958394	30958419	lod=24
5	30962051	30962076	lod=20
5	30962158	30962166	lod=23
5	30962193	30962745	lod=1143
5	30962849	30962918	lod=43
5	30962975	30963041	lod=41
5	30965741	30965778	lod=22
5	30968042	30968095	lod=27
5	30968238	30968337	lod=82
5	30968366	30968538	lod=144
5	30968580	30968602	lod=24
5	30968621	30968649	lod=28
5	30968671	30968707	lod=35
5	30968753	30968928	lod=125
5	30969208	30969267	lod=56
5	30969296	30969367	lod=45
5	30969382	30969434	lod=54
5	30969458	30969666	lod=205
5	30969672	30969699	lod=18
5	30971021	30971036	lod=18
5	30971160	30971172	lod=17
5	30971195	30971231	lod=35
5	30971237	30971524	lod=361
5	30971527	30971723	lod=292
5	30972223	30972262	lod=23
5	30972329	30972452	lod=64
5	30972709	30972725	lod=21
5	30972799	30972997	lod=413
5	30973005	30973040	lod=67
5	30973062	30973095	lod=47
5	30973101	30973147	lod=50
5	30973629	30973639	lod=17
5	30974599	30974623	lod=23
5	30974702	30974744	lod=34
5	30974813	30974851	lod=28
5	30975904	30975942	lod=24
5	30975965	30976006	lod=20
